id,text,difficulty,max_rank,rank,topics
3587370,We've known each other since we were kids.,B2,530,1,family & relationships
3181907,"Oh, you know who I'm talking about.",B2,520,2,
7303583,He found money in the street.,B2,535,3,basic verbs & actions
10291090,"I've heard that word before, but I'm not sure what it means.",B2,555,4,language learning
59138,This work is by no means easy.,B2,511,5,negation
3168236,I think we've found one.,B2,500,6,
3299608,I didn't tell him. He found out by himself.,B2,561,7,negation
7299100,Sami found himself a part-time job.,B2,561,8,
7579035,It was by chance that I found this book.,B2,548,9,
5085331,My son means the world to me.,B2,534,10,family & relationships
9735591,Have you found one?,B2,500,11,
238022,We started according to plan.,B2,523,12,
10031269,Yanni wants to be known.,B2,581,13,
6351573,I hear you've found a new job.,B2,588,14,
12775121,Do you understand the process?,B2,551,15,
1487647,The process is important.,B2,551,16,
289891,He is the best for this project.,B2,610,17,numbers & counting
10830436,How many times has it happened since then?,B2,634,18,
12283285,That's all that's known at the moment.,B2,575,19,
11498247,I wish I'd known you were coming.,B2,685,20,
11012150,I should've known this would happen.,B2,654,21,numbers & counting
3909703,I've seen them on TV many times.,B2,644,22,numbers & counting
6234202,"You've done that a couple of times, haven't you?",B2,651,23,
4378604,Alfred has lost interest in this project.,B2,695,24,
2256426,I've put all of my energy into this plan.,B2,584,25,
10731917,This work takes a lot of energy.,B2,683,26,
12999361,I've known him longer than you have.,B2,713,27,
12159020,I found out what happened.,B2,634,28,
11367790,My wife means the world to me.,B2,601,29,"family & relationships,possession (my, your, his)"
12175545,No one has ever found gold here.,B2,692,30,
300088,He lives within his means.,B2,748,31,
6341783,I'd have done that if I'd known I needed to.,B2,679,32,
7009904,What has happened before will happen again. What has been done before will be done again. There is nothing new in the whole world.,B2,654,33,
2891389,I know exactly what it means.,B2,733,34,
2278689,The worth of a thing is best known by the want of it.,B2,726,35,
2545258,I'm working on a project.,B2,610,36,
12407850,The answer was known to him.,B2,687,37,
2641223,You'll never guess what I just found.,B2,694,38,
5849577,How did you get involved in this project?,B2,829,39,
11679310,Bruno found that the money was gone.,B2,693,40,
11696175,"Flavio tried to open the door several times, but he couldn't do it.",B2,869,41,
7968282,More money means more problems.,B2,662,42,
1450643,He finally found out how to make it.,B2,690,43,
5740626,My how times have changed.,B2,897,44,
248197,We found the key at last.,B2,788,45,
6709489,Sami found that amazing.,B2,821,46,
3049420,"Have a good time, children, while I'm away; go for a walk or stay in front of the house, whatever you like.",B2,891,47,
13394107,The green light means you can go.,B2,771,48,colors & shapes
1570639,We all found a good place to eat.,B2,765,49,
6710115,Sami found his kids in the house alone.,B2,703,50,
8992492,She found the dog.,B2,826,51,animals
282678,I tried all possible means.,B2,724,52,
930040,The price turned out to be lower than I thought.,B2,859,53,shopping & prices
8749093,We have no internet access.,B2,940,54,
4501705,Are they related?,B2,835,55,family & relationships
12774770,They found a middle ground.,B2,735,56,
9358619,He found it difficult to get started.,B2,903,57,
7126059,How many times do I have to say I'm not married?,B2,994,58,numbers & counting
619965,"Oh please, not so fast.",B2,767,59,polite requests & manners
291773,He found his missing brother at last.,B2,950,60,family & relationships
299986,He seems to have known the truth.,B2,960,61,
5067714,I put the key in exactly the same place where I found it.,B2,788,62,
252352,I found it difficult to make out what she was saying.,B2,903,63,
7924226,I use a free version.,B2,917,64,
2240845,We're still moving.,B2,1022,65,
2720578,Marie was moving forward.,B2,1022,66,
11038774,"If you lower the price, I'll buy it.",B2,812,67,"shopping & prices,future plans & goals"
4458043,He recently found a good job.,B2,1026,68,basic verbs & actions
11199416,Can you give me an example of a double standard?,B2,1049,69,asking for help
11070933,"What's the title of the article you're writing? Or rather, what will the title be? Have you decided on a title yet?",B2,920,70,future plans & goals
9042021,What you're thinking about moving doesn't need to be moved.,B2,1053,71,future plans & goals
8960704,"I was just about to phone you, but you beat me to it.",B2,1042,72,basic verbs & actions
12744019,He found a place to sleep.,B2,957,73,basic verbs & actions
25149,"Had they known what was about to happen, they would have changed their plans.",B2,1055,74,"future plans & goals,basic verbs & actions"
12717528,My phone doesn't have Internet access.,B2,940,75,"negation,possession (my, your, his)"
300799,He is content with the simple life.,B2,1071,76,"emotions,basic verbs & actions"
5834521,I want to beat that record.,B2,1042,77,"basic verbs & actions,future plans & goals"
8178081,The sort of information that we need isn't always available.,B2,1098,78,"negation,basic verbs & actions"
259731,I don't have anything particular to say.,B2,1092,79,"negation,basic verbs & actions"
7350369,"Oh, if only you would write for me. ""What exactly?""",B2,1008,80,"future plans & goals,basic verbs & actions"
7910953,I had such fun times when I was a kid.,B2,1107,81,"emotions,basic verbs & actions"
11633926,It's a well-known piece of music.,B2,975,82,
6046783,When will the new version be released?,B2,954,83,future plans & goals
7126497,Is that too much risk for you?,B2,955,84,"emotions,possession (my, your, his),future plans & goals"
6431139,It's going to take longer to tell you how to do it than to just go ahead and do it myself.,B2,1038,85,basic verbs & actions
267217,"Some of the girls like that sort of music, and some don't.",B2,1098,86,"likes & dislikes,negation"
4494468,The potential is there.,B2,1057,87,future plans & goals
842601,The conference had a full house.,B2,1047,88,
3723555,Let's be content with what we have.,B2,1071,89,polite requests & manners
2689329,Please make sure that the conference room is clean.,B2,1135,90,"polite requests & manners,basic verbs & actions"
5928085,Sami found a way to make a little extra money.,B2,1119,91,basic verbs & actions
5823259,I found something very interesting.,B2,1083,92,basic verbs & actions
8910257,The author's books are known throughout the world.,B2,1179,93,
10871932,"When I began to read it, I found the book interesting.",B2,1083,94,basic verbs & actions
4937902,This sort of thing happens.,B2,1169,95,
69230,You must live according to your income.,B2,1140,96,basic verbs & actions
10136180,"If I were you, I wouldn't sign that contract.",B2,1216,97,future plans & goals
10852516,How hot is the data centre?,B2,1180,98,asking for help
7886606,Are you looking for something in particular?,B2,1092,99,asking for help
7910838,He found the house door wide open.,B2,1177,100,basic verbs & actions
7973436,"However, he found time for a quick meeting.",B2,1127,101,basic verbs & actions
11392783,I finished that important project.,B2,1220,102,language learning
21919,It's by no means easy to master a foreign language.,B2,1250,103,language learning
2218408,You're still growing.,B2,1223,104,negation
4902893,Nobody expected anything from me.,B2,1200,105,negation
979814,I never expected to find such a nice hotel in a place like this.,B2,1191,106,"basic verbs & actions,likes & dislikes"
952381,"Look over the contract well, before you sign it.",B2,1216,107,negation
9741138,I'm not fighting you.,B2,1271,108,negation
5746205,Spend within your means.,B2,1152,109,basic verbs & actions
12526876,Did you get the mark you expected?,B2,1166,110,basic verbs & actions
7449057,We're growing.,B2,1223,111,basic verbs & actions
10162165,This is not a commercial marina.,B2,1266,112,negation
10023727,Yanni posted that on social media.,B2,1146,113,basic verbs & actions
8409255,He did a commercial.,B2,1266,114,basic verbs & actions
4519232,"Sometimes the stock market goes up, and sometimes it goes down.",B2,1255,115,"future plans & goals,basic verbs & actions"
8960837,"If I'd known her address, I would've written her a letter.",B2,1291,116,
6660594,I don't think your approach will work.,B2,1241,117,negation
10859756,Which direction is the ivy growing?,B2,1248,118,directions & locations
10156056,That isn't the response that I expected.,B2,1166,119,negation
1545799,It's an older version but it shouldn't matter.,B2,1278,120,basic verbs & actions
10900059,What sort of things are you interested in?,B2,1192,121,likes & dislikes
6687987,I'm now learning to do that.,B2,1276,122,language learning
1841756,He's a community leader.,B2,1195,123,
11140641,"All things considered, it is probably a better approach.",B2,1241,124,"basic verbs & actions,future plans & goals"
312428,She gave me access to her records.,B2,1352,125,"possession (my, your, his)"
31173,"It's out of stock, but I can give you a rain check.",B2,1255,126,"shopping & prices,future plans & goals"
11748879,"I've finished my A-levels now, and I'm glad I haven't got to go to school any more.",B2,1342,127,"future plans & goals,basic verbs & actions,language learning"
7442185,"They weren't fighting, were they?",B2,1271,128,negation
294741,He is quick at learning a foreign language.,B2,1276,129,language learning
2987890,"I'm doing my best to get better at speaking, since I think the better I get, the more friends I can make.",B2,1320,130,language learning
291896,He found the door closed.,B2,1327,131,basic verbs & actions
8385807,I found that hard to explain.,B2,1365,132,basic verbs & actions
8250857,Can anyone here explain what this means?,B2,1365,133,asking for help
10873672,He didn't literally say that but something like that.,B2,1311,134,negation
2360114,I have no comment at this time.,B2,1392,135,negation
12415043,"I'd like to get a house plant for my room, do you think it'd be easy enough to care for?",B2,1374,136,plants
12846704,She started primary school.,B2,1404,137,
6214172,"The doctor, who is well-to-do, is not content.",B2,1332,138,negation
311398,She seems to have known the secret.,B2,1284,139,
7892660,I'm glad that you found the money you lost.,B2,1342,140,
673768,I have no comment.,B2,1392,141,negation
264149,I bought a new computer to keep up with the times.,B2,1294,142,
239283,"If you are found out, you'll catch it.",B2,1418,143,
9145808,Ask however many times you feel is necessary.,B2,1315,144,
10808655,She found a woman who helped her.,B2,1395,145,
7473472,They say they're not planning on going.,B2,1349,146,negation
6249944,I eventually found out who did that.,B2,1394,147,
9773928,Yanni heard about the trial.,B2,1441,148,
21361,Every student has access to the library.,B2,1459,149,
2291573,I accept the risk.,B2,1473,150,
1737629,The mass is over.,B2,1428,151,
11592392,Michael has actual work to do.,B2,1474,152,
2318127,She went to mass every day.,B2,1428,153,
5882789,It was so very different from his prior life.,B2,1493,154,
9366417,Not everyone has a signed contract.,B2,1503,155,negation
6616387,My quality of work is directly related to the quality of the coffee available.,B2,1448,156,"possession (my, your, his)"
7355936,The dog ran around the tree many times.,B2,1508,157,animals
6199763,"She looked like a teacher, and later I found that she actually is one.",B2,1411,158,
5741672,I always welcome comments.,B2,1421,159,
21365,Students have access to the library.,B2,1459,160,
4890071,I don't have any comments.,B2,1421,161,negation
9849669,No one is expected to come to work if they're sick.,B2,1410,162,negation
12119368,What sort of shop is that?,B2,1408,163,
6143124,I've done that lots of times.,B2,1399,164,
434064,I don't want to run the risk of losing it.,B2,1487,165,negation
12240356,What's the actual problem?,B2,1474,166,
3620421,Have you found a solution?,B2,1537,167,
260647,I trust his executive ability.,B2,1425,168,
10869924,Create a positive environment at work.,B2,1424,169,
5081513,In which house did you live previously?,B2,1572,170,
2359411,I have complete faith in you.,B2,1597,171,
7201891,Sami was moving so slow.,B2,1504,172,
12960429,I consider love to be a major benefit.,B2,1592,173,
11610066,That investment has finally paid off.,B2,1528,174,
6311284,I'm planning to throw a big party to welcome Sami.,B2,1581,175,
72127,"Oh, don't worry about it.",B2,1548,176,
1399611,How will you sort the animals?,B2,1517,177,animals
7868463,He looked nothing like his profile picture.,B2,1610,178,
11069909,But we still haven't found the solution.,B2,1537,179,
10778647,Do you have any investment ideas?,B2,1528,180,
7208392,Sami has said this previously.,B2,1572,181,
7706565,"I'm just learning how to do this, like everybody else.",B2,1525,182,language learning
12652266,I'm asking for your understanding.,B2,1620,183,asking for help
7963101,Sami was planning a wedding.,B2,1586,184,
8704367,He lives on a council estate.,B2,1595,185,
12105445,What remains now to be done?,B2,1672,186,
12760658,They worked the land when they were in their prime.,B2,1642,187,
11498949,Daniel found us by the bus station.,B2,1554,188,directions & locations
7901632,I should change my profile picture.,B2,1610,189,
12678256,Cast your eyes over here.,B2,1686,190,
11776224,Antonio met the prime minister and the president.,B2,1642,191,
7299179,Sami still didn't have any projects to work on.,B2,1643,192,
8195617,"I like your videos, and I listen to them several times.",B2,1709,193,likes & dislikes
11489689,I was planning to take a look around the village.,B2,1621,194,
8359743,I found a really good seat.,B2,1615,195,
7035078,She was in the military prior to becoming a teacher.,B2,1627,196,
10891027,They found a new method.,B2,1664,197,
23260,We mustn't waste our energy resources.,B2,1652,198,
2869246,That might be Mary's ex-husband.,B2,1633,199,family & relationships
5763873,Some employees like change.,B2,1631,200,likes & dislikes
11918281,Help us improve our content.,B2,1696,201,polite requests & manners
9958680,This website doesn't allow users to change their screen name.,B2,1678,202,
11724578,It's a matter of supply and demand.,B2,1651,203,
10357774,When did you decide to start this project?,B2,1715,204,
12891399,They were so proud of that progress.,B2,1735,205,
13233492,I saw a shooting star.,B2,1737,206,
12086638,Many shooting stars can be seen in summer.,B2,1737,207,"days, months & seasons"
8536598,She's running the risk of getting herself in trouble.,B2,1723,208,
369696,The die is cast.,B2,1686,209,
3734120,It was tough.,B2,1777,210,
13312704,She found herself alone.,B2,1723,211,
49082,The firm is known for its high-quality products.,B2,1693,212,
3826386,Who found my bag?,B2,1683,213,"possession (my, your, his)"
12506422,Did you get the grade you expected?,B2,1660,214,
12679883,She remains the only one happy here.,B2,1672,215,emotions
7734237,I had trouble understanding what was being said.,B2,1707,216,
3312845,We seem to be making progress.,B2,1734,217,
305744,They carried out the project.,B2,1747,218,basic verbs & actions
291733,I found him working in the garden.,B2,1757,219,plants
2800741,Doesn't she work in marketing?,B2,1729,220,negation
8607855,"It's certain that some things can be changed, but on the whole they have managed as best as they can.",B2,1797,221,
3101046,"Language learning software, no matter how nice it looks and works, is only as good as the data it uses.",B2,1775,222,language learning
7396904,She thinks she's found the answer.,B2,1741,223,
10464660,Neither of us needs to do that again.,B2,1767,224,"negation,personal pronouns"
10910398,I soon found myself very busy.,B2,1812,225,
12440694,There's no reason for a human not to help a fellow human.,B2,1791,226,
1688952,I have an ever growing list of to-do items.,B2,1726,227,
7774443,My balance is negative.,B2,1782,228,
1693269,"If you have questions about this product, call our technical support line.",B2,1842,229,asking for help
2784494,Neither of us can be there.,B2,1767,230,negation
