id,text,difficulty,max_rank,rank,topics
5730888,I ventured off the beaten path.,C1,5007,1,
13039286,I advocate for open and honest dialogue.,C1,5003,2,
7894487,It's said that she's clever.,C1,5014,3,
3813319,You are my closest friend.,C1,5016,4,"family & relationships,possession (my, your, his)"
6976505,I'll have the fish and chips.,C1,5012,5,at the restaurant
5754487,Our aims are simple.,C1,5004,6,
325257,Many trees were blown down by the storm.,C1,5009,7,
1747578,Who are your closest friends?,C1,5016,8,family & relationships
9772323,A detective arrived at the crime scene.,C1,5025,9,
11780703,They believed in her abilities to succeed.,C1,5002,10,
6709150,Sami walked into the bitter cold.,C1,5008,11,
1987940,I believe in my abilities.,C1,5002,12,
10321518,I work in a children's clinic.,C1,5015,13,
8044231,Your chips are getting cold.,C1,5012,14,"possession (my, your, his)"
6401331,That clinic still exists.,C1,5015,15,
10314423,He converted the penalty.,C1,5019,16,sports
30735,"If it were not for the sun, no living creatures could exist on the earth.",C1,5022,17,
8654787,It's a famous dish from this place.,C1,5028,18,
11812254,"The tea is very bitter, and doesn't taste particularly good.",C1,5008,19,
5991129,Farming is hard work.,C1,5036,20,
296660,He made his way through difficulties.,C1,5026,21,
2259321,The garden has a wooden fence.,C1,5037,22,
8132883,The sun has a massive gravity.,C1,5046,23,
11669958,He's raising a beautiful duck.,C1,5031,24,animals
12198567,People have difficulty giving up old habits.,C1,5047,25,animals
6272376,My offer was declined.,C1,5024,26,animals
10244395,Cats are curious creatures by nature.,C1,5022,27,
7791068,Life is a continuous back and forth.,C1,5018,28,negation
241694,Now she is gradually getting well.,C1,5045,29,negation
6645972,You aren't doing that correctly.,C1,5020,30,
13018881,Habits often become hard to break.,C1,5047,31,
5858945,I'm legally blind.,C1,5058,32,
12765183,The space mission faced numerous technical difficulties.,C1,5026,33,negation
6410564,"Mary listened carefully, but she didn't hear anything.",C1,5060,34,negation
433703,Have I hit the nail on the head?,C1,5064,35,negation
10170189,Nobody's forcing you to stay here.,C1,5041,36,negation
3717802,I'm not forcing them to pay extra.,C1,5041,37,
1318534,I broke a nail.,C1,5064,38,
9211622,"He hung a ""closed"" sign on the shop's entrance door.",C1,5052,39,"likes & dislikes,negation"
240288,We have to set the scene for negotiations.,C1,5066,40,likes & dislikes
11160730,I don't like long flights.,C1,5040,41,
8697344,Jason and his friends even made the same dish during one virtual dinner.,C1,5028,42,"possession (my, your, his)"
11625017,Felix owns more land.,C1,5071,43,emotions
7865961,I'm sorry I lied.,C1,5059,44,likes & dislikes
12303064,It was hung there.,C1,5052,45,likes & dislikes
5851929,I like farming.,C1,5036,46,
3604424,Buildings cannot deny the law of gravity.,C1,5046,47,"polite requests & manners,negation"
8163033,Nonsense is so good only because common sense is so limited.,C1,5067,48,"polite requests & manners,negation"
4584953,You definitely should not skip this step.,C1,5082,49,
31393,It is time you put a stop to this nonsense.,C1,5067,50,
305830,They held a party in honor of the famous scientist.,C1,5080,51,
4665992,These shirts are identical.,C1,5053,52,family & relationships
287053,His son became a great scientist.,C1,5080,53,
1095664,Tom can do all sorts of things quite well.,C1,5085,54,
3826195,I'm not legally blind.,C1,5058,55,negation
12257765,What sorts of animals live here?,C1,5085,56,animals
10644470,I've never been able to snap my fingers.,C1,5084,57,
7403084,She looks like she's wealthy.,C1,5096,58,
12475611,You're a beautiful poet.,C1,5074,59,
6547801,Tom listened to the sounds of the sea.,C1,5060,60,animals
7386004,He rolled his window down.,C1,5079,61,
10861079,Keep the kitchen sink clean.,C1,5081,62,
10187516,"Could you read the electricity and gas meters, please?",C1,5063,63,polite requests & manners
11564724,I rolled over on the bed.,C1,5079,64,basic verbs & actions
10865783,This poet will never be forgotten.,C1,5074,65,
1853163,We all are beta versions.,C1,5101,66,
783893,It is common for students to skip breakfast before going to school.,C1,5082,67,
5907626,You stole my things.,C1,5087,68,"possession (my, your, his)"
10915639,It's not a bug. It's a feature.,C1,5105,69,negation
530566,We went to the beach to swim.,C1,5089,70,basic verbs & actions
2756730,He's wealthy and powerful.,C1,5096,71,
12035221,How fast they swim!,C1,5089,72,
9349179,We get bored easily.,C1,5103,73,"emotions,likes & dislikes,animals"
10254085,Tom likes caring for animals.,C1,5106,74,"animals,likes & dislikes"
7982034,Sami is doing a transaction.,C1,5092,75,basic verbs & actions
7735682,We need to find our way out this cave.,C1,5108,76,"directions & locations,asking for help"
7400158,She knows she's vulnerable here.,C1,5095,77,emotions
11424890,She became vulnerable.,C1,5095,78,emotions
3089480,Am I catching you at a bad time?,C1,5107,79,asking for help
9464688,I'll demonstrate this with the help of a few concrete examples.,C1,5117,80,colors & shapes
12894656,This metal is bronze.,C1,5104,81,colors & shapes
302771,He tried to attract her attention.,C1,5099,82,emotions
7377922,Mary told everybody she was bored.,C1,5103,83,emotions
12829712,Many people depend on others.,C1,5119,84,
10315071,A cool wind is blowing.,C1,5102,85,
5365669,I have no intention of cheating. What's the point?,C1,5109,86,negation
